1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,1,0,0,0,0,p2,0,0,0,0,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,p2,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,w2右4,0,0,0,0,0,0,0,0,w2左4,1,0
1,1,1,w2下3,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,m1x4,p2,0,m2x2,1,1,0,0
0,0,p2,0,0,0,0,0,0,0,0,w2下2,0,p2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,p2,0,0,0,0,0,0,0,0,0
0,p2,0,0,0,0,0,0,0,0,0,0,0,p2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,w2上3,0,0,0,0,0,0,0,w2上2,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
