0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,1,w2下2,0,0,0,0,0,0,0,w2下3,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,p2,0,0,0,0,0,0,0,0,0,0,0,p2,0
0,0,0,0,0,0,0,0,0,p2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,p2,0,w2上2,0,0,0,0,0,0,0,0,p2,0,0
0,0,1,1,m2x2,0,p2,m1x4,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,w2上3,1,1,1
0,1,w2右4,0,0,0,0,0,0,0,0,w2左4,1,1,1,1
0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,p2,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,0,0,0,0,p2,0,0,0,0,1,1,1
1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
