1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,0,p2,0,0,0,0,0,1,1,0,0,1,1,1
1,1,0,0,0,0,p2,0,1,1,1,0,0,0,1,1
1,w2右3,nm,nm,nm,nm,nm,nm,w2左3,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,w2下4,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,nm,0,0,0,0,0,0
0,0,0,0,p2,0,0,0,0,nm,0,0,m1x2,0,0,0
0,0,0,0,a1,0,0,0,0,nm,0,0,0,0,p2,0
0,0,0,0,0,0,0,m1x2,0,nm,0,0,0,0,0,0
0,0,0,0,0,0,0,p2,0,nm,0,0,p2,0,0,0
0,0,0,0,0,0,0,0,0,nm,0,0,0,0,0,0
0,w2右2,nm,nm,nm,nm,w2左2,m2x2,0,nm,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,nm,0,0,0,0,1,1
1,0,0,p2,0,0,p2,1,1,w2上4,1,1,1,1,1,1
0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
