1,1,1,0,0,0,0,0,0,0,0,0.5,1,1,1,1
1,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0,0,0,0,0,0.5a1,0,0,0,0,0,0,0,0
1,0.5,0,0,0,0,0,0,0,p2,0,0,m2x2,0,0,0
1,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
1,1,0,0,難度1-3是m1x2_難度4-7是m1x4,0,p2,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,w2右4,nm,nm,nm,nm,nm,nm,nm,nm,w2左4,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0.5,p2,0,m2x2,0,0,1,1,0,0,0
1,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,m1x2,0,0.5a1,0,p2,0,0,1,1,1,0,0
1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
