1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,w2下4,0,0,0.5a1,0,0,0,1,1,1,0,0
0,0,0,0,nm,0,0,0,0,0,0,1,w2下4,1,0,0
0,0,p2,0,nm,0,0,0,0,m5x2,0,0,nm,0,0,0
0,0,0,0,nm,0,p2,0,0,0,0,0,nm,0,p2,0
0,0,0,0.5,nm,0,0,m5x2,0,0.5a1,0,0,nm,0,0,0
0,0,0,0.5,nm,0,0,0,0,0,0,0,nm,0,0,0
0,0,p2,0,nm,0,0,0,0,p2,0,0,nm,0,0,0
0,0,0,0,nm,0,0,0,0,0,0,0,nm,0,p2,0
0,0,0,1,nm,0,0,0,0,0,0,0,nm,0,0,0
0,0,0,1,w2上4,w2右2,nm,nm,nm,nm,w2左2,1,nm,0,0,0
0,t11,0,1,1,0,0,0,0,0,1,1,w2上4,1,0,0
0,0,0,1,1,0,p2,0,p2,0,1,1,1,1,0,0
1,0.5,1,1,0,0,0,0,0,0,0,1,1,1,1,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
