1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,p2,0,0,0,p2,0,0,0,0,1,1
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
0,0,1,w2右4,nm,nm,nm,nm,nm,nm,nm,nm,w2左4,1,1,1
0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,w2下2,1,1,0,0
0,0,0,0,m5x2,0,0.5a1,0,p2,0,0,nm,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,nm,0,p2,0,0
0,0,0.5a1,0,0,0,m5x2,0,0,0,0,nm,0,0,0,0
0,0,0,0,0,p2,0,0,0,0,0,nm,0,p2,0,0
1,1,0,0,0,0,0,0,0,0,0,w2上2,0,0,0,0
1,1,w2右4,nm,nm,nm,nm,nm,nm,nm,nm,w2左4,1,1,0,0
1,1,0,0,0,0,0.5,0.5,0,0,1,1,1,1,1,0
1,0,0,0,p2,0,0,0,p2,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,t11,0,0.5,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
