1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
0.5,0,0.5,0,0,1,w2下3,1,0,0,1,m4x1,0,0,0,0
0,0,0,0,0,0,nm,0,0,0,0,0,0,0,0,0
0,0,0,p2,0,0,nm,0,p2,0,0,0,0,0,0,0
0,0,0,0,0,0,nm,0,0,0,0,0,0,0,0,0
0,0,0,0,0.5a1,0,nm,0,0,0,0,0,0,0,0,0
0,0,p2,0,0,0,nm,0,0,0,0,p2,0,0,0,0
0,0,0,0,0,0,nm,0,0,0,0,0,0.5a1,0,0,0
0,0,0,0,0,0,w2上3,0,0,0,0,0,0,0,0,0
0,0,0,m5x2,0,0,1,0,0,m5x4,0,0,0,0,0,0
1,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,1,1
1,1,0,0,0,1,1,1,1,1,0.5,0.5,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
