1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0.5a1,0,0,1,0,0,0,t11,0,1
0,0,0,0,m5x2,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,w2下3,0,0,0.5,0,0,0
0,0,0,0,0,0,0,0,0,nm,0,0,0,0,0,0
0,0,0,0,0,0,p2,0,0,nm,0,p2,0,0,0,0
0,0,0,0.5a1,0,0,0,0,0,nm,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,nm,0,0,0,0,0.5,0
1,0,0,0,m5x2,0,p2,0,0,nm,0,0,p2,0,0,0
1,0,0,0,0.5,0,0,0,0,nm,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,w2上3,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
