1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0.5a1,0,0,0,0,0,1
1,1,0,0,0,m5x2,0,0,0,0,0,m5x2,0.5,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0.5a1,0,0,0,p2,0,0,p2,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,w2右3,nm,nm,nm,nm,nm,nm,w2左3,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,p2,0,0,0,0,0,0,1
1,1,0,0,0,0,0.5,0,0,0,0,p2,0,0,0,1
1,1,0,0,t11,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
