1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
1,1,d右,0,0,0,0,0,0,0,0,0,0,d左,1,1
1,1,d右,0,0,0,0,0,0,0,0,0,0,d左,1,1
1,1,d右,0,0,0,0,1,1,d上,d上,d上,d上,d,1,1
1,1,d右,0,0,0,0,1,1,d下,d下,d下,d下,d,1,1
1,1,d,d上,d上,d上,d上,1,1,0,0,0,0,d左,1,1
1,1,d,d下,d下,d下,d下,1,1,0,0,0,0,d左,1,1
1,1,d右,0,0,0,0,1,1,0,0,0,0,d左,1,1
1,1,d右,0,0,0,0,1,1,d上,d上,d上,d上,d,1,1
1,1,d右,0,0,0,0,1,1,d下,d下,d下,d下,d,1,1
1,1,d,d上,d上,d上,d上,1,1,0,0,0,0,d左,1,1
1,1,d,d下,d下,d下,d下,1,1,0,0,0,0,d左,1,1
1,1,d右,0,0,0,0,0,0,0,0,0,0,d左,1,1
1,1,d右,0,0,0,0,0,0,0,0,0,0,d左,1,1
1,1,d右,0,0,0,0,0,0,0,0,0,0,d左,1,1
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
