1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.5,1,1,1,1,0,0,1,1,1,1,1,0,0,0
0,0,1,nm,nm,nm,nm,nm,nm,nm,nm,nm,1,1,0,0
0,0,1,nm,0,0,0,0,0,0,0,nm,nm,1,0,0
0,0,1,nm,0,0,0,0,0,0,0,0,nm,0,0,0
0,0,0,nm,0,0,0,bm1,0,0,0,0,nm,0,0,0
0,0,0,nm,0,0,0,0,0,0,0,0,nm,0,0,0
0,0,0,nm,0,0,0,0,0,0,0,0,nm,0,0,0
0,0,1,nm,nm,nm,a1,0,0,0,0,nm,nm,1,0,0
1,1,1,1,1,nm,nm,nm,nm,nm,nm,nm,1,1,0,0
1,0.5,0,0.5,1,0,0,0,1,1,1,1,1,0,0,0
1,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
