1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0
1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0
1,1,0,0,0,0,0,0,fd左,fd右,0,0,0,0,0,0
1,1,0,t11,0,0,0,0,fd左,fd右,0,0,0,0,0,0
1,1,0,0,0,0,0,0,fd左,fd右,0,難度1是0_難度2-7是m5x2,0,0,0,0
1,1,0,0,0,0,0,0,fd左,fd右,0,0,0,0,0,0
1,1,0,t11,0,0,0,0,fd左,fd右,0,0,0,0,0,0
1,1,0,0,0,0,0,0,fd左,fd右,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0
1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
