1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,w1下3,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,nm,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,nm,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,nm,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,nm,0,0,0,p1,0,0,w1下3,0,0,0,0
0,0,p1,0,nm,0,0,0,難度1-3是m1x2_難度4-7是m1x4,0,0,nm,0,0,0,0
0,0,0,0,nm,0,0,0,0,0,0,nm,0,0,0,0
0,0,0,0,w1上3,0,0,0,0,0,0,nm,0,0,p1,0
0,0,0,1,1,0,0,0,0.5a1,0,0,nm,0,0,0,0
1,0,0,1,1,0.5,0,0,1,0,0,nm,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,nm,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,w1上3,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
