1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,1
0,0,0,1,1,1,1,1,0,0,0,1,0.5,0,0.5,1
0,0,1,1,nm,nm,nm,nm,nm,nm,nm,1,1,1,1,1
0,0,1,nm,nm,0,0,0,0,0,nm,nm,nm,1,0,0
0,0,0,nm,0,0,0,0,0,0,0,0,nm,0,0,0
0,0,0,nm,0,0,0,0,0,0,0,0,nm,0,0,0
0,0,0,nm,0,0,0.5a2,0.5a1,bm5,0,0,0,nm,0,0,0
0,0,0,nm,0,0,0,0,0,0,0,0,nm,1,0,0
0,0,1,nm,nm,0,0,0,0,0,0,0,nm,1,0,0
0,0,1,1,nm,nm,nm,nm,nm,nm,nm,nm,nm,1,0,0
0,0,0,1,1,1,1,1,0,0,1,1,1,1,0.5,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
