1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,t11,0,0,0,0,0,0,0,0,t11,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,fd上,fd上,fd上,fd上,fd上,fd上,1,1,1,1,1
1,1,1,1,1,fd下,fd下,fd下,fd下,fd下,fd下,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,0,0.5,0.5,0,0,1,1,1,1,1
1,1,1,1,1,0,0,0.5,0,0,0,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
