1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
nm,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1
nm,nm,nm,nm,nm,nm,nm,nm,w2下3,0,0,0,0,0,0,1
nm,0,0,0,0,0,0,nm,nm,0,0,p2,0,0,0,1
nm,0,0,0,0,0,p2,0,nm,0,0,0,0,0,0,1
nm,0,0.5a1,0,0,bm1x1,0,0,nm,0,d左上,d上,d上,d上右,0,1
nm,0,0,0,0,0,0,0,nm,0,d下左,d下,d下,d右下,0,1
nm,0,0,0,0,0,0,p2,nm,0,0,0,0,0,0,1
nm,0,0,0,0,0,0,nm,nm,0,0,p2,0,0,0,1
nm,0,0,0,0,0,nm,nm,w2上3,0,0,0,0,0,0.5,1
nm,0,0,0,nm,nm,nm,1,1,0,0,0,0,0,0.5,1
nm,nm,nm,nm,nm,1,1,1,1,0,0,0,0,0,1,1
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
