1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,p1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1,1,w1右3,nm,nm,nm,nm,nm,nm,w1左3,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,p1,難度1-3是m1x2_難度4-7是m1x4,0,0,0.5a1,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,w1右3,nm,nm,nm,nm,nm,nm,w1左3,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,p1,0,0,0,0,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
