1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,t11,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,w2下4,0,0,0,0,0,0,1
1,nm,nm,nm,nm,nm,nm,nm,nm,0,0,0,0,0,0,1
1,nm,0,0,0,0,0,0,nm,0,0,p2,0,0,0,1
1,nm,0,0,0,0.5,0,0,nm,0,0,0,0,0,0,1
1,nm,0,0,0,p2,0,0,nm,0,d左上,d上,d上,d上右,0,1
1,nm,0,0.5a1,0,0,0,0,nm,0,d下左,d下,d下,d右下,0,1
1,nm,0,0,0,p2,0,0,nm,0,0,0,0,0,0,1
1,nm,0,0,0,0,0,0,nm,0,0,p2,0,0,0,1
1,nm,0,0,0,0,0,nm,nm,0,0,0,0,0,0,1
1,nm,nm,0,0,bm1x1,0,nm,w2上4,1,1,1,1,1,1,1
1,1,nm,nm,0,0,0,nm,0,0,0,0,0,1,1,1
1,1,1,nm,nm,nm,nm,nm,0,0,0,0,0,0,1,1
