1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,0,0,0,0,0,0,p1,0,0,0,0,0,1,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,w1右3,nm,nm,nm,nm,nm,nm,w1左3,1,1
1,1,nm,nm,nm,nm,nm,nm,0,0,0,0,nm,nm,1,1
1,1,nm,0,0,0,0,0,0,0,0,0,0,nm,1,1
1,1,nm,0,0,0,0,0,0,0,0,0,0,nm,1,1
1,1,nm,0,0.5a1,0,0,0,0,0,0,0,0,nm,1,1
1,1,nm,0,1,0,0,0,bm1x1,p1,0,0,0,nm,1,1
1,1,nm,0,0,0,0,0,0,0,0,0,0,nm,1,1
1,1,nm,nm,0,0,0,0,nm,nm,nm,nm,0,nm,1,1
1,1,w1右3,nm,nm,nm,nm,nm,nm,w1左3,1,nm,nm,nm,1,1
1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,0,0,0,0,p1,0,0,0,0,0,0,0,1,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
