1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0.5,0,0,0,0,0,0,0,0,1,1,1,1,1,0
1,0,0,0,0.5,0,0,0,0,0,fd左,fd右,0,0,0,0
1,0,0,0.5,0,0,0,0,0,0,fd左,fd右,0,0,0,0
1,0,0,0,0,0,0,0,0,0,fd左,fd右,m4x1,0,0,0
1,0,0,0,0,0,0,0,0,0,fd左,fd右,0,0,0,0
1,0,t11,0,0,0,0,0,0,0,fd左,fd右,0,0,0,0
1,0,0,0,難度1是0_難度2-7是m5x2,0,0,0,0,0,fd左,fd右,0,0,0,0
1,0,0,0,0,0,m4x1,0,0,0,1,1,0,0,0,0
1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.5,0.5,0.5,0.5,0,0,0,1,1,1,0,0,0,0,0
1,0.5,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,難度1是0_難度2-7是m5x2,0,0,0.5
1,1,0.5,0,0,0,t11,0,0,0,0,0,0,0,0,1
1,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,1
1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,1,1
