1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,1
1,1,0.5,0,0,0,0,0,t11,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.5
1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,m4x1,0,0,1,0,0,0.5,0.5,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,t11,0,0,0,0,0,m4x1,1,1,1,0,0,0,0
1,0,0,0,m4x1,0,0,0,0,0,d左,d右,0,0,0,0
1,0,0,0,0,0,0,0,0,m4x1,d左,d右,0,0,0,0
1,0,t11,0,0,0,0,0,0,0,d左,d右,0,0,0,0
1,0,0,0,0,0,0,0,0,0,d左,d右,0,0,1,1
1,0,0,m4x1,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
