1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,0
1,0,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,0
1,0,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,0
1,0,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,0
0,0,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,0
0,0,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,1
0,0,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,1
0,0,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,1
0,0,0,0,d左,d右,0,0,0,0,d左,d右,0,0,0,1
1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
