1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
1,0,0,0,0,fd左,fd右,0,0,0,0,0,0,0,1,1
1,0,0,0,0,fd左,fd右,0,0,0,0,0,0,0,1,1
1,0,0,0,0,fd左,fd右,0,m4x1,0,0,0,0,0,1,1
0,0,0,0,0,fd左,fd右,0,0,0,1,fd上,fd上,fd上,1,1
0,0,0,0,0,1,1,0,0,1,1,fd下,fd下,fd下,1,0
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,1,fd上,fd上,fd上,1,1,0,0,1,1,0,0,0,0,0
1,1,fd下,fd下,fd下,1,0,0,0,fd左,fd右,0,0,0,0,0
1,1,0,0,0,0,0,m4x1,0,fd左,fd右,0,0,0,0,1
1,1,0,0,0,0,0,0,0,fd左,fd右,0,0,0,0,1
1,1,0,0,0,0,0,0,0,fd左,fd右,0,0,0,0,1
1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
