0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,1,w2下2,0,0,0,0,0,0,0,w2下3,1,0,0
0,0,0,0,nm,0,0,0,0,0,0,0,nm,0,0,0
0,1,p2,0,nm,0,0,0,0,0,0,0,nm,0,p2,0
0,0,0,0,nm,0,0,0,0.5a1,p2,0,0,nm,0,0,0
0,0,0,0,nm,0,0,0,0,0,0,0,nm,0,0,0
0,0,p2,0,w2上2,0,0,0,0,0,0,0,nm,p2,0,0
0,0,1,1,m2x2,0,p2,難度1-3是m1x2_難度4-7是m1x4,0,0,0,0,nm,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,w2上3,1,0,0
0,1,w2右4,nm,nm,nm,nm,nm,nm,nm,nm,w2左4,1,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,p2,0,0,m1x2,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0.5a1,p2,0,0,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
