1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
1,1,0,0,fd上,fd上,0,0,0,0,1,1,1,1,1,1
1,1,0,0,fd下,fd下,0,0,0,0,1,1,1,1,1,1
1,1,fd上,fd上,1,1,0,0,0,0,1,1,1,1,1,1
1,1,fd下,fd下,1,1,1,1,0,0,0,1,1,1,1,1
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,1,1,1,1,fd上,fd上,1,1
1,1,1,1,1,1,0,0,0,0,1,1,fd下,fd下,1,1
1,1,1,1,1,1,0,0,0,0,fd上,fd上,0,0,1,1
1,1,1,1,1,1,0,0,0,0,fd下,fd下,0,0,1,1
1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
