1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,w2下4,1,1,p2,0,0,p2,0,0,1
1,0,0,0,0,0,nm,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,nm,0,m2x2,w2右2,nm,nm,nm,nm,w2左2,0
0,0,0,0,0,0,nm,0,0,0,0,0,0,0,0,0
0,0,0,p2,0,0,nm,0,p2,0,0,0,0,0,0,0
0,0.5a1,0,0,0,0,nm,0,難度1-3是m1x2_難度4-7是m1x4,0,0.5a2,0,0,0,0,0
0,p2,0,0,0,0,nm,0,0,0,0,0.5a1,0,0,0,0
0,0,0,m1x2,0,0,nm,0,0,0,0,p2,0,0,0,0
0,0,0,0,0,0,nm,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,w2上4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,w2右3,nm,nm,nm,nm,nm,nm,w2左3,1
1,1,0,0,0,1,1,1,0,p2,0,0,0,0,1,1
1,1,1,0,0,1,1,0,0,0,0,0,p2,0,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
