1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,0,0,d左上,d左下,0,0,0,0,0,0,1,1,1,0,0
1,0,0,d左,d右,0,0,0,t11,0,0,1,0,0,0,0
0,0,0,d左,d右,0,0,0,0,0,0,1,0,0,0,0
0,0,0,d左,d右,0,0,0,0,0,0,1,0,0,0,0
0,0,0,d左,d右,0,0,0,0,0,0,0,0,0,0,0
0,0,0,d左,d右,0,0,0,0,0,0,0,0,0,0,0
0,0,0,d左,d右,0,0,0,0,0,0,0,0,0,0,0
0,0,0,d左,d右,0,0,0,t11,0,0,0.5,0,0,0,0
1,0,0,d下左,d上右,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
