1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,d下左,d右下,0,0,1
0,d下左,d右下,0,0,0,0,0,0,0,0,d右,d左,0,0,0
0,d右,d左,0,0,0,0,0,0,0,0,d右,d左,0,0,0
0,d右,d左,0,0,0,0,0,0,0,0,d右,d左,0,0,0
0,d右,d左,0,0,0,0,0,0,0,0,d右,d左,0,0,0
0,d右,d左,0,0,0,0,0,0,0,0,d右,d左,0,0,0
0,d右,d左,0,0,0,0,0,0,0,0,d右,d左,0,0,0
0,d左上,d上右,0,0,0,0,0,0,0,0,d右,d左,0,0,1
0,0,0,0,0,0,0,0,0,0,0,d左上,d上右,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
