1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,1,0,t11,0,1
1,1,0,1,1,d上,d上,d上,d上,d上,d上,1,0,0,0,1
1,0,0,0,1,d下,d下,d下,d下,d下,d下,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,d上,d上,d上,d上,d上,d上,1,0,0,0,0
0,0,0,1,1,d下,d下,d下,d下,d下,d下,1,1,1,1,1
1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
1,1,0,1,1,0,0,0,0,0,0,0,0,0.5,1,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0.5,1,1
1,1,1,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1
