1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,1,1,1,1,w1上5,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,m2x2,0,0,0,0,0,0,0
0,0,p1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,p1,0,0,0
0,0,0,0,0,0,0,1,m1x4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,t11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1,1,0,0,0,1,w1下5,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
