1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0.5a1,0,0,0,0,0,0,0,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,1,1,0,0,m5x2,0,0,0,1,1,0,0,0
0,t11,0,0,1,0,p2,0,0,p2,0,1,0,0,t11,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,p2,0,1,w2右2,nm,nm,nm,nm,w2左2,1,0,p2,0,0
0,0,0,0,w2下2,0,0,0,0,0,0,w2下2,0,0,0,0
0,0,p2,0,nm,0,0,0,0,0,0,nm,0,p2,0,0
1,0,0,0,nm,0,p2,0,0,p2,0,nm,0,0,0,1
1,1,0,0,nm,0,0,0,0,0,0,nm,0,0,1,1
1,1,1,0,nm,0,0,0.5a1,m5x2,0,0,nm,0,1,1,1
1,1,1,1,w2上2,0,0,0,0,0,0,w2上2,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
