1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,1,0,0,t11,0,0,0,0,0,0,1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,d上,d上,d上,d上,d上,d上,d上,d上,d上,1,1
1,0,0,0,1,d下,d下,d下,d下,d下,d下,d下,d下,d下,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,d上,d上,d上,d上,d上,d上,d上,d上,d上,1,1
1,0,0,0,1,d下,d下,d下,d下,d下,d下,d下,d下,d下,1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,1,0,0,0,0,0,0,t11,0,0,1,1
1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
