1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,d右,d左,1,1,1,1
1,0,0,0,0.5,0,0,0,0,0,d右,d左,0,1,1,1
1,0,0,1,0.5,0,0,0,0,0,d右,d左,0,0,1,1
1,0,0,0,0,0,0,0,0,0,d右,d左,0,0,0,1
1,1,0,0,0,0,0,0,0,0,d右,d左,0,0,0,0
1,1,0,0,0,0,0,0,0,0,d右,d左,0,0,0,0
1,1,d上,d上,d上,d上,d上,d上,d上,d上,1,d左,0,0,0,0
1,1,d下,d下,d下,d下,d下,d下,d下,d下,1,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,d右,d左,0,0,0
1,1,0,0,0,0,0,0,0,0,0,d右,d左,0,0,1
1,1,0,0,0,0,0,0,0,0,0,d右,d左,0,1,1
1,1,0,0,0,0,0,0,0,0,0,d右,d左,0,1,1
1,1,1,0,0,0,0,0,0,0,0,d右,1,1,1,1
1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
