1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,m5x2,0,0,1,0,0,0,0,w2下4,0,0,0.5a1,0,0
0,0,0,0,0,1,0,0,0,0,nm,0,0,0,0,0
0,0,0,0,0,w2下2,0,p2,0,0,nm,0,0,p2,0,0
0,0,p2,0,0,nm,0,0,0,0,nm,0,0,0,m5x2,0
0,0,0,0,0,nm,0,0,0.5,0,nm,0,0,0,0,0
0,0,0,0,0,nm,0,0,0.5,0,nm,0,0,0,0,0
0,0,p2,0,0,nm,0,0,0,0,nm,0,0,0,0,0
0,0,0,0,0,w2上2,0,p2,0,0,nm,0,0,p2,0,0
0,0,0,0,0,1,0,0,0,0,nm,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,w2上4,0,0,0,0,0
1,0,0.5a1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
