1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,d下,d下,d下,d,d,d下,d下,d下,d,d,d下,d下,d下,d下,1
1,0,0,0,d左,d右,0,0,0,d左,d右,0,0,0,0,1
0,0,0,0,d左,d右,0,0,0,d左,d右,0,0,0,0,0
0,0,0,0,d左,d右,0,0,0,d左,d右,0,0,0,0,0
0,0,0,0,d左,d右,0,0,0,d左,d右,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,d左,d右,0,0,0,d左,d右,0,0,0
0,0,0,0,0,0,d左,d右,0,0,0,d左,d右,0,0,0
0,0,0,0,0,0,d左,d右,0,0,0,d左,d右,0,0,0
1,0,0,0,0,0,d左,d右,0,0,0,d左,d右,0,0,1
1,d上,d上,d上,d上,d上,d,d,d上,d上,d上,d,d,d上,d上,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
