1,1,1,1,1,1,0,0,0,0,0.5,1,1,1,1,1
1,1,1,1,1,0.5,0,0,0,0,0,1,1,0.5,0,1
1,1,1,1,1,1,0,p1,0,0,0.5,1,1,0,0,0
1,1,1,1,1,1,0,0,0,0,0,1,1,1,0.5,0
0,1,0,0,1,w1右2,nm,nm,nm,nm,w1左2,1,1,1,0.5,0
nm,nm,nm,nm,nm,nm,nm,0,0,nm,nm,1,1,0,0.5,0
nm,0,0,0,0,0,0,0,0,0,nm,1,1,0,0.5,0
nm,0,0,0,0,0,0.5a1,0,0,0,nm,1,1,0,0,0
nm,0,0,0,0,0,0,p1,0,bm1x1,nm,w1下2,0,0,0,0
nm,nm,nm,nm,0,0,0,0,0,0,nm,nm,0,0,0,0
0.5,0,1,nm,0,0,0,0,0,0,0,nm,0,0,0,0
1,1,1,nm,0,0,0,0,0,0,0,nm,0,p1,0,0.5
1,1,0,nm,nm,0,0,nm,nm,nm,nm,nm,0,0,0,1
1,1,1,0.5,nm,0,0,nm,1,1,1,w1上2,1,0,0,1
1,1,1,0,nm,0,0,nm,1,0,0,1,1,1,1,1
1,1,1,0,nm,nm,nm,nm,0,0,0,0,1,1,1,1
