1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,w2下3,0,m1x2,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1
1,1,0,0,0,0.5,0,0,0,0,p2,0,0,0,1,1
1,1,0,0,0,p2,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0.5,0,0,0,p2,0,0,0,1,1
1,1,0,0,0,p2,0,0,0,0,0.5,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,w2上3,1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,m2x2,0,0,1,1,1,1,1
1,0,0,0,m1x2,0,0,0,0,0,0,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
