1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0.5,0,0,0,0,0,1,1,0,m4x1,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,p2,0,p2,0,0.5,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0
0,0,0,w2右3,nm,nm,nm,nm,nm,nm,w2左3,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,p2,0,p2,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0.5a1,0,0
0,0,1,1,0,0,0,0,bm5x2,0,0,0,0,0,0,0
0,1,1,0,0,0,0.5a1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
