1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,w1下3,0,0,0,1
0,0,m4x1,0,1,0,0,0,0.5a1,0,0,nm,0,m4x1,0,1
0,0,0,0,1,0,0,0,0,0,0,nm,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,nm,0,0,0,0
0,0,0,0,w1下3,0,0,0,0,0,0,nm,0,0,0,0
0,0,0,0,nm,0,0,0,0,0,0,nm,0,p1,0,0
0,0,0,0,nm,0,0,bm5x2,0,0,0,nm,0,0,0,0
0,p1,0,0,nm,0,0,0,0,0,0,w1上3,0,0,0,0
0,0,0,0,nm,0,0,0.5a1,0,0,0,1,1,0,0,0
1,0,0,0,nm,0,0,1,p1,0,0,1,0,0,0,1
1,0,0,0,nm,0,0,0,0,0,0,1,0,m4x1,0,1
1,0,0,0,w1上3,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
