1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,0,p1,0,0,0,0,0,1
1,0,0,m4x1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,w1右3,nm,nm,nm,nm,nm,nm,w1左3,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,bm5x2,0,0.5a1,1,0,0,0,1
1,0,0,0.5a1,0,0,0,0,0,0,0,p1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,w1右3,nm,nm,nm,nm,nm,nm,w1左3,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,0,0,m4x1,0,0,0,p1,0,0,0,0,m4x1,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
