1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,m5x2,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,0,p2,0,0,p2,0,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,w2右2,nm,nm,nm,nm,w2左2,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,p2,0,0,p2,0,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,m5x2,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
