1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0.5,0,0.5a1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,p2,0,p2,0.5,0,1,0,0,0,0,0
0,0,0,m1x2,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,m2x2,0,0,0,0
0,0,0,w2右3,nm,nm,nm,nm,nm,nm,w2左3,0,0,0,0,0
0,0,0,1,0,0,0,0.5a2,0,0,0,0,0,0,0.5a1,0
0,0,0,1,0,0.5,p2,0,p2,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,m1x2,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
