1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,w1下3,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,nm,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,nm,0,0,1,1,0,0,1,0,0,0,1
0,0,0,0,nm,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,nm,0,0,0,p1,0,0,w1下3,0,0,0,0
0,0,p1,0,nm,0,0,0,m1x4,0,0,nm,0,0,0,0
0,0,0,0,nm,0,0,0,0,0,0,nm,0,0,0,0
0,0,0,0,w1上3,0,0,0,0,0,a1,nm,0,0,p1,0
0,0,0,1,1,0,0,0,0,0,0,nm,0,0,0,0
1,0,0,1,1,0.5,0,0,1,0,0,nm,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,nm,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,w1上3,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
