1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
0,0,0,0,0,0,m4x1,0,m4x1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,m4x1,0,33,0,m4x1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,buy4,0,0,0,0,0,0,0,0
0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5
1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
