1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,nm,nm,nm,nm,nm,nm,nm,nm,nm,1,1
1,0,1,1,1,nm,0,0,0,0,0,0,0,nm,nm,1
1,0,0,1,1,nm,0,0,0,0.5a1,0,0,0,0,nm,nm
0,0,0,1,1,nm,0,0,0,0,0,0,0,0,0,nm
0,0,0,0,1,nm,0,0.5,p2,0,p2,0,0,bm1x1,0,nm
0,0,t11,0,1,nm,0,0,0,0,0,0,0,0,0,nm
0,0,0,0,1,nm,0,0,0,0,0,0,nm,nm,nm,nm
0,0,0,0,w2右4,nm,nm,nm,nm,nm,nm,nm,nm,w2左4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,d左上,d上右,0,0,0,1,0,0
0,0,0,0,0,0,p2,0,d左,d右,0,p2,0,1,0,0
0,0,0,m2x2,0,0,0,0,d左,d右,0,0,0,1,0,0
1,0,0,0,0,0,0,0,d左,d右,0,0,0,1,1,0
1,1,0,0,0,0,0,0,d左,d右,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
