1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,0,0,0,fd左,fd右,0,0,0,0,fd左,fd右,0,0,0,0
0,0,0,0,fd左,fd右,0,0,0,0,fd左,fd右,0,0,0,0
0,0,0,0,fd左,fd右,0,0,0,0,fd左,fd右,0,0,0,0
0,0,0,0,fd左,fd右,0,0,0,0,fd左,fd右,0,0,0,0
0,0,0,0,fd左,fd右,0,0,0,0,fd左,fd右,0,0,0,0
0,0,0,0,fd左,fd右,0,0,0,0,fd左,fd右,0,0,0,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
