1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,1,0,1,1,w2下4,1,0,0,0,0,0.5,0,1,1
1,1,0,0,0,0,nm,0,0,0,0.5,0,0,0,1,1
1,0,0,0,0,0,nm,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,nm,0,0,0,0,0,0,0,1,1
0,0,0,p2,0,0,nm,0,p2,0,0,0,0.5a1,0,1,1
0,0,0,0,0,0,nm,0,m5x2,0,0,0,0,0,1,1
0,0,p2,0,0,0,nm,0,0,0,0,0,0,0,1,1
0,0,0,m5x2,0,0,nm,0,0,0,0,p2,0,0,1,1
0,0,0,0,0,0,nm,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,w2上4,1,0,0,0,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,m2x2,0,0,0.5,1,1
1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
