1,1,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1
1,0,0,0,0,0,0,0,p1,0,0,0,0,0,1,1
1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,w1右4,nm,nm,nm,nm,nm,nm,nm,nm,w1左4,1,1
1,1,1,1,nm,nm,0,0,0,0,0,nm,0,1,1,0
1,0,1,w1下3,nm,0,0,0,0,0,0,nm,1,1,0,0
0,0,0,nm,nm,0,0,0,bm1x1,0,0,nm,1,1,0,0
0,p1,0,nm,0,0,0,0,0,0,0,nm,w1下2,0,p1,0
0,0,0,nm,0,0,0,0,p1,0,0,nm,nm,0,0,0
0,0,0,nm,0,0,0,0.5a1,0,0,0,0,nm,0,0,0
0,0,0,nm,0,0,0.5a2,0,0,0,0,0,nm,0,0,0
0,0,0,nm,nm,0,0,0,0,0,0,nm,nm,0,0,0
0,0,1,w1上3,nm,0,0,0,0,0,0,nm,w1上2,1,0,0
0,1,1,w1右4,nm,nm,nm,nm,nm,nm,nm,nm,w1左4,1,0,0
0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
