1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,p1,0,0,0,0,0,0,0,0
1,0,1,w1下4,1,1,1,0,0,0,0,0,1,1,1,1
1,0,0,nm,0,1,1,w1右2,nm,nm,nm,nm,w1左2,w1下4,1,1
0.5,0,0,nm,nm,nm,nm,nm,nm,0,0,nm,nm,nm,0,0
0,0,0,nm,0,0,0,0,0,0,0,0,0,nm,0,0
0,0,0,nm,0,0,0,0,0,0,0,0,0,nm,0,0
0,p1,0,nm,0,0,bm1x1,0,p1,0,0,0,0,nm,0,0
0,0,0,nm,0,0,0,0,0,0.5a1,0,0,0,nm,0,0
0,0,0,nm,0,0,0,0,0,0,0.5a2,0,0,nm,0,0
0,0,0,nm,nm,0,0,0,0,0,0,0,0,nm,0,0
0,0,1,w1上4,nm,nm,nm,0,0,0,0,nm,nm,nm,0,0
0,0,1,1,1,w1右3,nm,nm,nm,nm,nm,nm,w1左3,w1上4,1,1
0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1
1,0,0,1,1,0,0,p1,0,0,0,0,0,1,1,1
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
